URL,ID,Title,Adress,Built_in_Year,Floors,Type,Price,Location,Bath(s),Area,Purpose,Bedroom(s),Added,img_URLS
https://www.zameen.com/Property/bahria_town_karachi_bahria_town_precinct_8_corner_villa__466_sq_yards_in_precinct_8__bahria_town_karachi-44864566-10016-1.html,44864566,"Corner villa, 466 sq yards in precinct 8, Bahria Town Karachi","Bahria Town - Precinct 8, Bahria Town Karachi, Karachi, Sindh",2023,,House,4.5 Crore,"Bahria Town Karachi, Karachi, Sindh",6,466 Sq. Yd.,For Sale,5,8 hours ago,"https://media.zameen.com/thumbnails/219764388-800x600.jpeg,https://media.zameen.com/thumbnails/219764388-800x600.jpeg,https://media.zameen.com/thumbnails/214302809-800x600.jpeg,https://media.zameen.com/thumbnails/214302822-800x600.jpeg,https://img.youtube.com/vi/1NUW8jP11cg/sddefault.jpg,https://img.youtube.com/vi/1NUW8jP11cg/sddefault.jpg,https://img.youtube.com/vi/1NUW8jP11cg/default.jpg,https://img.youtube.com/vi/1NUW8jP11cg/default.jpg"
https://www.zameen.com/Property/bahria_town_karachi_bahria_sports_city_your_dream_property_available_for_sale_-45892415-10061-1.html,45892415,Your Dream Property Available For sale,"Bahria Sports City, Bahria Town Karachi, Karachi, Sindh",,,House,1.82 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,10 hours ago,"https://media.zameen.com/thumbnails/223076144-800x600.jpeg,https://media.zameen.com/thumbnails/223076144-800x600.jpeg,https://media.zameen.com/thumbnails/223076154-800x600.jpeg,https://media.zameen.com/thumbnails/223076155-800x600.jpeg"
https://www.zameen.com/Property/bahria_town_karachi_bahria_town_precinct_8_precinct_6_272sq_yard_villa_at_good_location_of_bahria_town_karachi-43431617-10016-1.html,43431617,Precinct 6 272sq Yard Villa At Good Location Of Bahria Town Karachi,"Bahria Town - Precinct 8, Bahria Town Karachi, Karachi, Sindh",,,House,2.95 Crore,"Bahria Town Karachi, Karachi, Sindh",4,272 Sq. Yd.,For Sale,4,10 hours ago,"https://media.zameen.com/thumbnails/205069297-800x600.jpeg,https://media.zameen.com/thumbnails/205069297-800x600.jpeg,https://media.zameen.com/thumbnails/205069337-800x600.jpeg,https://media.zameen.com/thumbnails/205069573-800x600.jpeg"
https://www.zameen.com/Property/karachi_bath_island_the_garden_bathisland-45768655-198-1.html,45768655,The Garden Bathisland,"Bath Island, Karachi, Sindh",,in Building,Flat,5.5 Crore,"Bath Island, Karachi, Sindh",4,244 Sq. Yd.,For Sale,3,12 hours ago,"https://media.zameen.com/thumbnails/222058218-800x600.jpeg,https://media.zameen.com/thumbnails/222058218-800x600.jpeg,https://media.zameen.com/thumbnails/222058227-800x600.jpeg,https://media.zameen.com/thumbnails/222058228-800x600.jpeg"
https://www.zameen.com/Property/malir_cantonment_saima_presidency_saima_presidency_3_bed_d_d_1600_sqft_duplex-42892340-9884-1.html,42892340,Saima Presidency 3 Bed D D 1600 Sqft Duplex,"Saima Presidency, Malir Cantonment, Cantt, Karachi, Sindh",2020,in Building5,Flat,1.7 Crore,"Cantt, Karachi, Sindh",3,178 Sq. Yd.,For Sale,3,10 hours ago,"https://media.zameen.com/thumbnails/206253531-800x600.jpeg,https://media.zameen.com/thumbnails/206253531-800x600.jpeg,https://media.zameen.com/thumbnails/206253578-800x600.jpeg,https://media.zameen.com/thumbnails/206254851-800x600.jpeg"
https://www.zameen.com/Property/gulistan_e_jauhar_fatima_golf_residency_fatima_golf_residency_flat_for_sale_3_bed_d_d_1750_sq_feet-44740786-11050-1.html,44740786,Fatima Golf Residency Flat For Sale 3 Bed D D 1750 Sq Feet,"Fatima Golf Residency, Gulistan-e-Jauhar, Karachi, Sindh",2018,in Building10,Flat,1.4 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",4,194 Sq. Yd.,For Sale,3,10 hours ago,"https://media.zameen.com/thumbnails/212937420-800x600.jpeg,https://media.zameen.com/thumbnails/212937420-800x600.jpeg,https://media.zameen.com/thumbnails/212937421-800x600.jpeg,https://media.zameen.com/thumbnails/212937435-800x600.jpeg"
https://www.zameen.com/Property/malir_saima_jinnah_avenue_saima_jinnah_avenue_3bed_d_d_for_sale_2200_sqft-44740585-13172-1.html,44740585,Saima jinnah avenue 3bed d d for sale 2200 sqft,"Saima Jinnah Avenue, Malir, Karachi, Sindh",2018,in Building11,Flat,3.25 Crore,"Malir, Karachi, Sindh",4,244 Sq. Yd.,For Sale,3,10 hours ago,"https://media.zameen.com/thumbnails/212937763-800x600.jpeg,https://media.zameen.com/thumbnails/212937763-800x600.jpeg,https://media.zameen.com/thumbnails/212937764-800x600.jpeg,https://media.zameen.com/thumbnails/212937777-800x600.jpeg"
https://www.zameen.com/Property/askari_5_askari_5_sector_j_brand_new_house_for_sale-44144593-17289-1.html,44144593,Brand New House For Sale,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",2022,1,House,7.25 Crore,"Cantt, Karachi, Sindh",5,375 Sq. Yd.,For Sale,5,12 hours ago,"https://media.zameen.com/thumbnails/206408026-800x600.jpeg,https://media.zameen.com/thumbnails/206408026-800x600.jpeg,https://media.zameen.com/thumbnails/206408034-800x600.jpeg,https://media.zameen.com/thumbnails/206408303-800x600.jpeg"
https://www.zameen.com/Property/karachi_falaknaz_dynasty_in_falaknaz_dynasty_you_can_find_the_perfect_prime_location_flat_for_sale-44947630-10152-1.html,44947630,In Falaknaz Dynasty You Can Find The Perfect Prime Location Flat For sale,"Falaknaz Dynasty, Karachi, Sindh",,,Flat,1 Crore,"Falaknaz Dynasty, Karachi, Sindh",-,111 Sq. Yd.,For Sale,-,10 hours ago,"https://media.zameen.com/thumbnails/215089055-800x600.jpeg,https://media.zameen.com/thumbnails/215089055-800x600.jpeg,https://media.zameen.com/thumbnails/215089068-800x600.jpeg,https://media.zameen.com/thumbnails/215089078-800x600.jpeg,https://img.youtube.com/vi/pepPkbW773M/sddefault.jpg,https://img.youtube.com/vi/pepPkbW773M/default.jpg"
https://www.zameen.com/Property/scheme_33_sector_35_a_lateef_duplex_luxuria_lateef_duplex_flat_for_sale_4_bed_d_d_2700_sq_feet-44832891-16480-1.html,44832891,Lateef Duplex Flat For Sale 4 Bed D/d 2700 Sq Feet,"Lateef Duplex Luxuria, Scheme 33 - Sector 35-A, Scheme 33, Karachi, Sindh",2021,in Building13,Flat,2.15 Crore,"Scheme 33, Karachi, Sindh",5,300 Sq. Yd.,For Sale,4,10 hours ago,"https://media.zameen.com/thumbnails/213992908-800x600.jpeg,https://media.zameen.com/thumbnails/213992908-800x600.jpeg,https://media.zameen.com/thumbnails/213992909-800x600.jpeg,https://media.zameen.com/thumbnails/213992912-800x600.jpeg"
